numerical__SGPA_Sem1,numerical__SGPA_Sem2,numerical__SGPA_Sem3,numerical__SGPA_Sem4,numerical__SGPA_Sem5,numerical__SGPA_Sem6,numerical__SGPA_Sem7,numerical__SGPA_Sem8,numerical__CGPA,numerical__AttendancePercent,numerical__Internships,numerical__Projects,numerical__Workshops,numerical__Certifications,numerical__Publications,numerical__AptitudeTestScore,numerical__SoftSkillsRating,numerical__CodingTestScore,numerical__MockInterviewScore,numerical__ExtraCurricular,numerical__IsAnomaly,categorical__Gender_Female,categorical__Gender_Male,categorical__City_Ahmedabad,categorical__City_Bangalore,categorical__City_Chennai,categorical__City_Delhi,categorical__City_Hyderabad,categorical__City_Jaipur,categorical__City_Kochi,categorical__City_Kolkata,categorical__City_Mumbai,categorical__City_Pune,categorical__CollegeTier_Tier1,categorical__CollegeTier_Tier2,categorical__CollegeTier_Tier3,categorical__Stream_CS,categorical__Stream_Civil,categorical__Stream_ECE,categorical__Stream_EE,categorical__Stream_IT,categorical__Stream_Mechanical,categorical__Specialisation_AI,categorical__Specialisation_DataScience,categorical__Specialisation_Embedded,categorical__Specialisation_Networking,categorical__Hostel_No,categorical__Hostel_Yes,categorical__HistoryOfBacklogs_No,categorical__HistoryOfBacklogs_Yes,categorical__CGPA_Tier_High,categorical__CGPA_Tier_Low,categorical__CGPA_Tier_Mid,IsAnomaly,PlacementStatus,Cluster,Distance_From_Center,KMeans_Outlier
0.3367,0.4233,0.42,0.3333,0.4117,0.3183,0.415,0.25,0.3817,0.466,0.3333,0.4,0.6667,0.4,0.0,0.5103,0.3,0.4157,0.3834,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0.1228396991385019,0
0.3067,0.1867,0.2233,0.1967,0.1717,0.155,0.2333,0.1883,0.205,0.09,0.0,0.2,0.0,0.2,0.0,0.2382,0.35,0.1536,0.119,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,0,1,0.057256554210334265,0
0.1517,0.215,0.2483,0.2883,0.2217,0.3133,0.3033,0.2783,0.2533,0.552,0.3333,0.6,0.3333,0.2,0.0,0.6147,0.45,0.627,0.3077,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,1,0,0.24523570814523463,0
0.6117,0.6717,0.68,0.6067,0.4767,0.5167,0.5933,0.565,0.585,0.376,0.3333,0.4,0.3333,0.4,0.0,0.5559,0.425,0.6178,0.3858,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1,0,0.09232446565628201,0
0.69,0.8283,0.7267,0.7583,0.7583,0.73,0.85,0.81,0.775,0.916,0.6667,0.6,0.6667,0.8,0.5,0.6044,0.275,0.6732,0.5505,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,1,2,0.12085950236046726,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.778,0.6667,1.0,0.6667,0.8,0.5,0.7279,0.725,0.5115,0.7139,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1,2,0.1640392389718462,0
0.7833,0.925,0.9533,0.9767,0.8083,0.845,0.9517,0.95,0.8917,0.742,0.6667,0.4,1.0,0.6,1.0,0.6544,0.9,0.8037,0.5481,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,1,2,0.07649620793974737,0
0.3117,0.2733,0.2467,0.2967,0.315,0.3333,0.1867,0.1983,0.2517,0.358,0.0,0.2,0.3333,0.0,0.0,0.5574,0.25,0.2517,0.143,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,0,0,0.24126311252450797,0
0.46,0.3067,0.3417,0.3283,0.3933,0.375,0.3133,0.3317,0.3667,0.31,0.0,0.4,0.3333,0.2,0.5,0.2985,0.675,0.582,0.4928,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,1,1,0.13766795670678744,0
0.71,0.715,0.705,0.7683,0.75,0.7283,0.765,0.6933,0.735,0.51,0.3333,0.4,0.6667,0.2,0.0,0.3971,0.425,0.7032,0.3185,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1,0,0.2931821247932292,0
0.4917,0.5917,0.5433,0.5633,0.5833,0.5383,0.62,0.6467,0.5917,0.86,0.3333,0.8,1.0,0.8,1.0,0.7382,0.65,0.8476,0.5913,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,1,0,0.2015927571910371,0
0.335,0.285,0.2433,0.3017,0.2483,0.2,0.2883,0.24,0.2783,0.096,0.0,0.2,0.6667,0.2,0.0,0.1706,0.35,0.224,0.2608,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,0,1,0.1291110252764382,0
0.2367,0.1433,0.1683,0.3267,0.1667,0.265,0.1967,0.1567,0.22,0.344,0.0,0.2,0.0,0.0,0.0,0.1838,0.225,0.2263,0.2584,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,1,0.10665361411290195,0
